T,-1.052085966,0.3019593905,-1.051196729,-0.1534357434,-1.134114055,0.5539258687,2.348964734,-1.695096107,0.3405416355,-0.920926614,1.336015316,0.03228007538,-1.299981275,-0.2189590689,-1.43275434,0.1384014951
I,0.5199103576,1.506783987,-1.051196729,0.7293827466,-0.6797867375,1.54278246,-1.077526412,0.1365736346,-0.4973600948,1.885200858,-1.326920563,0.5139277076,-0.4434655691,-0.2189590689,0.1214172243,1.389961645
D,-0.004088416967,1.205577838,0.4405436467,1.170791992,1.137522532,1.54278246,-0.6492150187,-0.9624282104,0.3405416355,0.6825747985,-1.326920563,-0.4493675569,-0.0152077161,-0.8659983275,-0.2671256667,0.7641815702
N,1.567907907,1.205577838,0.4405436467,0.2879735016,-0.22545942,-0.9293590178,0.635719161,-0.2297603137,0.3405416355,-1.72267732,-0.9465011519,0.9955753399,1.269565843,1.075119448,-0.6556685577,0.1384014951
G,-1.052085966,-1.806483654,-1.051196729,-1.919072723,-1.134114055,0.5539258687,-0.6492150187,0.502907583,0.3405416355,-0.920926614,-0.5660817407,0.5139277076,-0.871723422,-0.8659983275,0.5099601154,1.389961645
S,-0.004088416967,1.205577838,-0.05670314522,1.170791992,-0.22545942,0.5539258687,0.2074077678,0.502907583,1.597394231,-1.321801967,-0.1856623294,-0.9310151891,-1.299981275,-0.2189590689,2.064131679,-0.4873785801
B,-0.004088416967,-1.505277504,-0.05670314522,-0.5948449884,0.2288678975,0.5539258687,-0.2209036254,0.502907583,0.3405416355,-0.5200512608,-0.1856623294,-0.9310151891,-0.4434655691,-0.2189590689,1.287045897,1.389961645
A,-1.576084741,-1.806483654,-1.051196729,-1.477663478,-1.134114055,0.5539258687,-2.362460592,-0.9624282104,-1.335261825,-0.1191759077,-1.707339974,0.03228007538,-0.871723422,-1.513037586,-0.6556685577,-0.4873785801
J,-1.052085966,-1.505277504,-0.5539499371,-0.5948449884,-0.6797867375,1.54278246,-0.6492150187,-0.9624282104,0.3405416355,1.484325505,-0.9465011519,0.03228007538,-0.871723422,-1.513037586,-1.044211449,-0.4873785801
M,3.663903005,2.410402435,3.92127119,1.612201237,1.59184985,3.026067346,-2.362460592,0.502907583,-1.335261825,1.484325505,-2.087759386,0.5139277076,2.126081549,-4.748233879,-1.044211449,0.1384014951
X,-0.5280871915,0.6031655396,-0.05670314522,0.7293827466,0.2288678975,0.5539258687,-0.2209036254,-0.5960942621,1.178443366,-1.321801967,-0.1856623294,0.03228007538,-0.4434655691,-0.2189590689,0.8985030064,-0.4873785801
O,1.043909132,1.807990136,-0.5539499371,0.7293827466,0.2288678975,-0.4349307223,-0.2209036254,0.502907583,-0.9163109599,0.6825747985,0.1947570818,0.5139277076,0.8413079899,0.4280801897,0.5099601154,0.1384014951
